Name,Course,Order,Module/Section,Est. Minutes,Type,Status,Lessons In Section
P18S1 - The Complete Checklist Set,Day Trading Course,46,"Phase 18: Consistency, Execution Routine & Independence",85,Lesson Section,Not Started,4
P18S2 - Weekly/Monthly Review Routine & Operating Independently,Day Trading Course,47,"Phase 18: Consistency, Execution Routine & Independence",115,Lesson Section,Not Started,4
P19S1 - SMT Divergence,Day Trading Course,48,Phase 19: Advanced ICT,75,Lesson Section,Not Started,3
"P19S2 - IFVG, Advanced Liquidity & Algorithmic Delivery",Day Trading Course,49,Phase 19: Advanced ICT,90,Lesson Section,Not Started,4
"P19S3 - Turtle Soup, Liquidity Voids & Lower-Timeframe Entry Refinement",Day Trading Course,50,Phase 19: Advanced ICT,125,Lesson Section,Not Started,5
P20S1 - How Prop Firms & Evaluations Work,Day Trading Course,51,Phase 20: Prop Firms & Prop-Firm Readiness,100,Lesson Section,Not Started,4
P20S2 - The Prop-Firm Readiness Checklist,Day Trading Course,52,Phase 20: Prop Firms & Prop-Firm Readiness,60,Lesson Section,Not Started,3
P21S1 - Managing a Funded Account,Day Trading Course,53,"Phase 21: Funded Trading, Multiple Accounts & Responsible Scaling",80,Lesson Section,Not Started,4
P21S2 - Multiple Funded Accounts & Compliant Trade Copying,Day Trading Course,54,"Phase 21: Funded Trading, Multiple Accounts & Responsible Scaling",85,Lesson Section,Not Started,4
P21S3 - Responsible Scaling,Day Trading Course,55,"Phase 21: Funded Trading, Multiple Accounts & Responsible Scaling",85,Lesson Section,Not Started,4
P22S1 - Skill Levels — Know Exactly Where You Stand,Day Trading Course,56,"Phase 22: Skill Levels, Milestones & Your Post-Course Roadmap",65,Lesson Section,Not Started,4
"P22S2 - Milestone Roadmap: 7/30/60/90 Days, 6 & 12 Months",Day Trading Course,57,"Phase 22: Skill Levels, Milestones & Your Post-Course Roadmap",60,Lesson Section,Not Started,4
P22S3 - Your Post-Course Roadmap,Day Trading Course,58,"Phase 22: Skill Levels, Milestones & Your Post-Course Roadmap",55,Lesson Section,Not Started,3
